"Project","Repository","Hosting","Discovered","Discovery Source","Query","Suggested Target Input","Suggested Category","Suggested Views","Description","Created","Last Update","Stars","Language","License","Archived","Fork","Score","Confidence","Evidence","Review Status","Notes"
"PaddleOCR","https://github.com/PaddlePaddle/PaddleOCR","GitHub","2026-07-16","2026 OSINT support-tool market review","Documents, PDF, OCR, and transcription","Image; Document","Media","","Performs multilingual OCR, document layout analysis, and structured text extraction.","2020-05-08","2026-06-26","85633","Python","Apache-2.0","false","false","9","high","https://github.com/PaddlePaddle/PaddleOCR","accepted","Accepted from the broad 2026 market review; functional overlap was retained intentionally."
"PDF Reader MCP","https://github.com/SylphxAI/pdf-reader-mcp","GitHub","2026-07-16","2026 OSINT support-tool market review","Agentic research, monitoring, and MCP","Document","Documents & Records","AGENTIC.md","Analyzes PDFs through MCP while retaining page references, visual crops, and OCR provenance.","2025-04-04","2026-07-16","827","TypeScript","MIT","false","false","9","high","https://github.com/SylphxAI/pdf-reader-mcp","accepted","Accepted from the broad 2026 market review; functional overlap was retained intentionally."
"ProofMode","https://gitlab.com/guardianproject/proofmode/proofmode-android","GitLab","2026-07-16","2026 OSINT support-tool market review","Web preservation and evidence capture","File","Media","","Adds hashes, signatures, sensor data, and C2PA provenance to captured mobile media.","2022-01-10","2026-07-15","18","Kotlin","GPL-3.0","false","false","9","high","https://gitlab.com/guardianproject/proofmode/proofmode-android","accepted","Accepted from the broad 2026 market review; functional overlap was retained intentionally."
"PyAhmia","https://github.com/rly0nheart/pyahmia","GitHub","2026-07-16","2026 OSINT support-tool market review","Platform-specific and intelligence tooling","Onion Service","Dark Web","","Provides programmatic search access to Ahmia-indexed Tor hidden services.","2025-09-26","2026-06-01","16","Python","MIT","false","false","9","high","https://github.com/rly0nheart/pyahmia","accepted","Accepted from the broad 2026 market review; functional overlap was retained intentionally."
"pywb","https://github.com/webrecorder/pywb","GitHub","2026-07-16","2026 OSINT support-tool market review","Web preservation and evidence capture","URL","Web","","Indexes, serves, and replays WARC web archives.","2013-12-09","2026-04-10","1680","JavaScript","GPL-3.0","false","false","9","high","https://github.com/webrecorder/pywb","accepted","Accepted from the broad 2026 market review; functional overlap was retained intentionally."
"QGIS","https://github.com/qgis/QGIS","GitHub","2026-07-16","2026 OSINT support-tool market review","GEOINT, mobility, and public records","Location","Geolocation","","Provides a complete desktop environment for geospatial data analysis and mapping.","2011-05-02","2026-07-16","14092","C++","GPL-2.0","false","false","9","high","https://github.com/qgis/QGIS","accepted","Accepted from the broad 2026 market review; functional overlap was retained intentionally."
"ReplayWeb.page","https://github.com/webrecorder/replayweb.page","GitHub","2026-07-16","2026 OSINT support-tool market review","Web preservation and evidence capture","URL","Web","","Replays WARC and WACZ web archives locally in a browser.","2019-12-09","2026-07-06","964","TypeScript","AGPL-3.0","false","false","9","high","https://github.com/webrecorder/replayweb.page","accepted","Accepted from the broad 2026 market review; functional overlap was retained intentionally."
"Satpy","https://github.com/pytroll/satpy","GitHub","2026-07-16","2026 OSINT support-tool market review","GEOINT, mobility, and public records","Location; Image","Geolocation","","Loads, transforms, composites, and exports meteorological satellite observations.","2016-02-09","2026-07-08","1200","Python","GPL-3.0","false","false","9","high","https://github.com/pytroll/satpy","accepted","Accepted from the broad 2026 market review; functional overlap was retained intentionally."
"ScrapeGraphAI","https://github.com/ScrapeGraphAI/Scrapegraph-ai","GitHub","2026-07-16","2026 OSINT support-tool market review","Web collection and browser automation","URL","Web","","Builds scraping pipelines that use language models to extract structured information.","2024-01-27","2026-07-15","28409","Python","MIT","false","false","9","high","https://github.com/ScrapeGraphAI/Scrapegraph-ai","accepted","Accepted from the broad 2026 market review; functional overlap was retained intentionally."
"Scrapling","https://github.com/D4Vinci/Scrapling","GitHub","2026-07-16","2026 OSINT support-tool market review","Web collection and browser automation","URL","Web","AGENTIC.md","Provides adaptive web scraping, crawling, browser automation, and structured extraction.","2024-10-13","2026-07-15","69773","Python","BSD-3-Clause","false","false","9","high","https://github.com/D4Vinci/Scrapling","accepted","Accepted from the broad 2026 market review; functional overlap was retained intentionally."
"Scrapy","https://github.com/scrapy/scrapy","GitHub","2026-07-16","2026 OSINT support-tool market review","Web collection and browser automation","URL","Web","","Implements a mature Python framework for crawling and extracting structured web data.","2010-02-22","2026-07-13","63186","Python","BSD-3-Clause","false","false","9","high","https://github.com/scrapy/scrapy","accepted","Accepted from the broad 2026 market review; functional overlap was retained intentionally."
"Search by Image","https://github.com/dessant/search-by-image","GitHub","2026-07-15","Independent GitHub research: image intelligence","reverse image search extension","Image","Media","","Browser extension that sends an image to multiple reverse-image search engines.","2017-06-17","2026-06-27","3597","JavaScript","GPL-3.0","false","false","9","high","Active cross-browser implementation for Chrome, Edge, and Safari with multiple image-search engines.","accepted","Accepted as an active multi-engine reverse-image search extension with an explicit GPL license."
"SearXNG","https://github.com/searxng/searxng","GitHub","2026-07-15","User-supplied GitHub list","manual review","URL","Web","","Free metasearch engine aggregating results from multiple search services and databases.","2021-04-12","2026-07-16","33983","Python","AGPL-3.0","false","false","9","high","Public implementation; active canonical repository; direct web research use case.","accepted","Accepted after verification of canonical repository and direct web research use case."
"Sherloq","https://github.com/GuidoBartoli/sherloq","GitHub","2026-07-16","2026 OSINT support-tool market review","Entity, timeline, graph, and media analysis","Image","Media","","Combines metadata, error-level, noise, clone, splice, and resampling analysis for images.","2017-06-24","2026-07-16","3167","Perl","GPL-3.0","false","false","9","high","https://github.com/GuidoBartoli/sherloq","accepted","Accepted from the broad 2026 market review; functional overlap was retained intentionally."
"Splink","https://github.com/moj-analytical-services/splink","GitHub","2026-07-16","2026 OSINT support-tool market review","Entity, timeline, graph, and media analysis","Name; Organization Name; Dataset","Documents & Records","","Performs probabilistic entity resolution and deduplication across imperfect records.","2019-11-22","2026-07-07","2264","Python","MIT","false","false","9","high","https://github.com/moj-analytical-services/splink","accepted","Accepted from the broad 2026 market review; functional overlap was retained intentionally."
"Stagehand","https://github.com/browserbase/stagehand","GitHub","2026-07-16","2026 OSINT support-tool market review","Web collection and browser automation","URL","Web","AGENTIC.md","Provides an SDK for agent-driven browser automation and page extraction.","2024-03-24","2026-07-16","23530","TypeScript","MIT","false","false","9","high","https://github.com/browserbase/stagehand","accepted","Accepted from the broad 2026 market review; functional overlap was retained intentionally."
"Steel Browser","https://github.com/steel-dev/steel-browser","GitHub","2026-07-16","2026 OSINT support-tool market review","Web collection and browser automation","URL","Web","","Runs a self-hosted browser API and sandbox for automated web operations.","2024-11-01","2026-07-06","7342","TypeScript","Apache-2.0","false","false","9","high","https://github.com/steel-dev/steel-browser","accepted","Accepted from the broad 2026 market review; functional overlap was retained intentionally."
"StratIntel","https://codeberg.org/martinsnygg/stratintel","Codeberg","2026-07-16","2026 OSINT support-tool market review","Platform-specific and intelligence tooling","Domain; IP Address; URL; File Hash","Threat Intelligence","EMERGING.md","Monitors RSS sources, scores items, learns from feedback, and produces strategic reports.","2025-12-18","2026-07-14","3","Python","MIT","false","false","9","high","https://codeberg.org/martinsnygg/stratintel","accepted","Accepted from the broad 2026 market review; functional overlap was retained intentionally."
"Telegram Archive","https://github.com/GeiserX/Telegram-Archive","GitHub","2026-07-16","Maintained successor review","functional replacement review","Username","Social Media","EMERGING.md","Creates incremental local archives of Telegram chats, media, and message history.","2025-11-25","2026-07-15","158","Python","GPL-3.0","false","false","9","high","https://github.com/GeiserX/Telegram-Archive","accepted","Accepted as a maintained successor after functional lifecycle review; overlap and fork status are not automatic rejection criteria."
"Telegram MCP TDLib","https://github.com/tolboy/telegram-mcp-tdlib","GitHub","2026-07-16","2026 OSINT support-tool market review","Agentic research, monitoring, and MCP","Username","Social Media","EMERGING.md; AGENTIC.md","Exposes Telegram searches, chats, messages, and public content to MCP clients through TDLib.","2026-07-04","2026-07-15","0","Kotlin","Apache-2.0","false","false","9","high","https://github.com/tolboy/telegram-mcp-tdlib","accepted","Accepted from the broad 2026 market review; functional overlap was retained intentionally."
"Tesseract","https://github.com/tesseract-ocr/tesseract","GitHub","2026-07-16","2026 OSINT support-tool market review","Documents, PDF, OCR, and transcription","Image; Document","Media","","Provides a multilingual optical character recognition engine.","2014-08-12","2026-07-16","75383","C++","Apache-2.0","false","false","9","high","https://github.com/tesseract-ocr/tesseract","accepted","Accepted from the broad 2026 market review; functional overlap was retained intentionally."
"Timesketch","https://github.com/google/timesketch","GitHub","2026-07-16","2026 OSINT support-tool market review","Entity, timeline, graph, and media analysis","Event Data","Investigation","","Supports collaborative search, annotation, and analysis across multiple event timelines.","2014-06-19","2026-07-10","3376","Python","Apache-2.0","false","false","9","high","https://github.com/google/timesketch","accepted","Accepted from the broad 2026 market review; functional overlap was retained intentionally."
"Trafilatura","https://github.com/adbar/trafilatura","GitHub","2026-07-16","2026 OSINT support-tool market review","Web collection and browser automation","URL","Web","","Extracts main text, metadata, links, and document structure from web pages.","2019-04-08","2026-07-09","6301","Python","Apache-2.0","false","false","9","high","https://github.com/adbar/trafilatura","accepted","Accepted from the broad 2026 market review; functional overlap was retained intentionally."
"TrendRadar","https://github.com/sansan0/TrendRadar","GitHub","2026-07-16","2026 OSINT support-tool market review","Agentic research, monitoring, and MCP","URL","Web","AGENTIC.md","Monitors news and RSS sources, tracks trends, stores history, and exposes MCP access.","2025-04-28","2026-07-08","60612","Python","GPL-3.0","false","false","9","high","https://github.com/sansan0/TrendRadar","accepted","Accepted from the broad 2026 market review; functional overlap was retained intentionally."
"TruffleHog","https://github.com/trufflesecurity/trufflehog","GitHub","2026-07-15","User-supplied GitHub list","manual review","Username; Repository URL","Code Repositories","","Finds, verifies, and analyzes exposed credentials across supported sources.","2016-12-31","2026-07-16","27074","Go","AGPL-3.0","false","false","9","high","Public implementation documents GitHub organization, user, repository, and related-source scanning.","accepted","Accepted for documented GitHub organization, user, and repository scanning."
"twikit","https://github.com/d60/twikit","GitHub","2026-07-16","2026 OSINT support-tool market review","Platform-specific and intelligence tooling","Username","Social Media","","Provides an alternative Python client for collecting and interacting with public X data.","2024-01-20","2026-03-10","4559","Python","MIT","false","false","9","high","https://github.com/d60/twikit","accepted","Accepted from the broad 2026 market review; functional overlap was retained intentionally."
"twscrape","https://github.com/vladkens/twscrape","GitHub","2026-07-16","2026 OSINT support-tool market review","Platform-specific and intelligence tooling","Username","Social Media","","Collects public X data through supported GraphQL endpoints with account-pool rotation.","2023-05-05","2026-06-26","2584","Python","MIT","false","false","9","high","https://github.com/vladkens/twscrape","accepted","Accepted from the broad 2026 market review; functional overlap was retained intentionally."
"Unstructured","https://github.com/Unstructured-IO/unstructured","GitHub","2026-07-16","2026 OSINT support-tool market review","Documents, PDF, OCR, and transcription","Document","Documents & Records","","Normalizes documents and extracts elements for search, analytics, and RAG pipelines.","2022-09-26","2026-07-15","15145","HTML","Apache-2.0","false","false","9","high","https://github.com/Unstructured-IO/unstructured","accepted","Accepted from the broad 2026 market review; functional overlap was retained intentionally."
"Vane","https://github.com/ItzCrazyKns/Vane","GitHub","2026-07-16","2026 OSINT support-tool market review","Agentic research, monitoring, and MCP","URL","Web","AGENTIC.md","Provides a self-hosted research interface that answers questions with linked sources.","2024-04-09","2026-04-11","35682","TypeScript","MIT","false","false","9","high","https://github.com/ItzCrazyKns/Vane","accepted","Accepted from the broad 2026 market review; functional overlap was retained intentionally."
"Whisper","https://github.com/openai/whisper","GitHub","2026-07-16","2026 OSINT support-tool market review","Entity, timeline, graph, and media analysis","Audio","Media","","Runs multilingual speech recognition, translation, and language identification locally.","2022-09-16","2026-04-15","105066","Python","MIT","false","false","9","high","https://github.com/openai/whisper","accepted","Accepted from the broad 2026 market review; functional overlap was retained intentionally."
"whisper.cpp","https://github.com/ggml-org/whisper.cpp","GitHub","2026-07-16","2026 OSINT support-tool market review","Entity, timeline, graph, and media analysis","Audio","Media","","Provides an efficient C and C++ implementation for local Whisper transcription.","2022-09-25","2026-07-11","51792","C++","MIT","false","false","9","high","https://github.com/ggml-org/whisper.cpp","accepted","Accepted from the broad 2026 market review; functional overlap was retained intentionally."
"WhisperX","https://github.com/m-bain/whisperX","GitHub","2026-07-16","2026 OSINT support-tool market review","Entity, timeline, graph, and media analysis","Audio","Media","","Adds word-level timestamps and speaker diarization to speech transcription.","2022-12-09","2026-07-13","23103","Python","BSD-2-Clause","false","false","9","high","https://github.com/m-bain/whisperX","accepted","Accepted from the broad 2026 market review; functional overlap was retained intentionally."
"X Archive RAG","https://github.com/mameshivaa/x-archive-rag","GitHub","2026-07-16","2026 OSINT support-tool market review","Agentic research, monitoring, and MCP","Username","Social Media","EMERGING.md; AGENTIC.md","Indexes exported X data for local semantic search and retrieval-augmented analysis.","2026-05-26","2026-06-18","0","Python","MIT","false","false","9","high","https://github.com/mameshivaa/x-archive-rag","accepted","Accepted from the broad 2026 market review; functional overlap was retained intentionally."
"YouTube Research MCP","https://github.com/coyaSONG/youtube-mcp-server","GitHub","2026-07-16","2026 OSINT support-tool market review","Agentic research, monitoring, and MCP","Username; Video","Social Media","EMERGING.md; AGENTIC.md","Exposes YouTube videos, channels, search results, comments, and transcripts through MCP.","2025-03-31","2026-07-14","15","JavaScript","MIT","false","false","9","high","https://github.com/coyaSONG/youtube-mcp-server","accepted","Accepted from the broad 2026 market review; functional overlap was retained intentionally."
"Betterleaks","https://github.com/betterleaks/betterleaks","GitHub","2026-07-15","Gitleaks successor review","related project review","Username; Repository URL","Code Repositories","EMERGING.md","Extensible secrets scanner maintained by the original Gitleaks team.","2026-02-03","2026-07-16","1473","Go","MIT","false","false","8","high","Gitleaks names it as the successor; supports GitHub, GitLab, Git, filesystems, and extensible sources.","accepted","Accepted into Emerging after Gitleaks identified it as the actively developed successor."
"clearcam","https://github.com/roryclear/clearcam","GitHub","2026-07-15","Independent GitHub research: camera intelligence","camera object search","Image; Video","Media","","Adds object detection, tracking, notifications, summaries, and search to security-camera feeds.","2025-01-04","2026-07-15","949","Python","GPL-3.0","false","false","8","high","Rapidly developed licensed implementation turns RTSP feeds into searchable detection events.","accepted","Accepted as an active licensed video-analysis and search platform."
"darc","https://github.com/JarryShaw/darc","GitHub","2026-07-15","Independent GitHub research: dark web intelligence","dark web crawler","Onion Service","Dark Web","","Crawls dark-web services, stores link and host data, and supports distributed collection workflows.","2019-09-28","2026-07-11","225","Python","BSD-3-Clause","false","false","8","high","Active BSD-licensed crawler provides URL parsing, robots and sitemap capture, host discovery, databases, worker modes, and submission APIs.","accepted","Accepted as an active BSD-licensed crawler with persistent and distributed collection features."
"Darkus","https://github.com/Lucksi/Darkus","GitHub","2026-07-15","Independent GitHub research: dark web intelligence","onion search","Onion Service","Dark Web","","Queries multiple onion search engines for keyword-matched hidden services.","2023-10-27","2026-02-21","683","Python","GPL-3.0","false","false","8","high","Active GPL-licensed implementation provides direct keyword discovery across several onion search engines.","accepted","Accepted as an active GPL-licensed dark-web discovery tool."
"DeepCamera","https://github.com/SharpAI/DeepCamera","GitHub","2026-07-15","User-supplied face recognition repositories","manual review","Image; Video","Media","","AI camera and NVR platform for local CCTV and home-security monitoring.","2019-03-05","2026-04-21","2908","JavaScript","MIT","false","false","8","high","Implementation provides local camera analytics, face recognition, re-identification, VLM analysis, and pluggable AI skills.","accepted","Accepted after scope clarification that camera monitoring and video intelligence belong in the catalogue."
"DeepFace","https://github.com/serengil/deepface","GitHub","2026-07-15","User-supplied GitHub list","manual review","Name; Image","Media","","Python face recognition and facial attribute analysis framework.","2020-02-08","2026-06-29","23110","Python","MIT","false","false","8","high","Public implementation documents verification, recognition, search, and analysis functions.","accepted","Accepted as an image-analysis framework with documented verification and search functions."
"Gitleaks","https://github.com/gitleaks/gitleaks","GitHub","2026-07-15","User-supplied GitHub list","manual review","Username; Repository URL","Code Repositories","","Secret scanner for Git repositories and other inputs.","2018-01-27","2026-07-01","28170","Go","MIT","false","false","8","high","Public implementation; remote Git repository scanning and GitHub workflow support are documented.","accepted","Accepted for public repository exposure research; upstream states feature-complete maintenance mode."
"goris","https://github.com/tanaikech/goris","GitHub","2026-07-15","Independent GitHub research: image intelligence","reverse image search CLI","Image","Media","","Command-line client for Google reverse-image search.","2017-04-26","2026-07-07","124","Go","MIT","false","false","8","high","Active MIT-licensed CLI with a direct reverse-image search workflow.","accepted","Accepted as an active, focused, MIT-licensed reverse-image search CLI."
"HomeGallery","https://github.com/xemle/home-gallery","GitHub","2026-07-15","Independent GitHub research: image intelligence","self-hosted visual search","Image","Media","","Indexes local photos and videos for similarity, face, and semantic discovery.","2020-12-22","2026-06-22","1169","JavaScript","MIT","false","false","8","high","Active self-hosted implementation documents reverse-image lookup and similar-face search over local collections.","accepted","Accepted as an active self-hosted visual-evidence search platform."
"httpx","https://github.com/projectdiscovery/httpx","GitHub","2026-07-15","User-supplied GitHub list","manual review","URL","Web","","HTTP toolkit for running high-volume probes against web targets.","2020-05-28","2026-07-16","10174","Go","MIT","false","false","8","high","Active canonical repository; tagged OSINT; practical web asset reconnaissance use case.","accepted","Accepted as an active web asset reconnaissance tool."
"Kerberos Agent","https://github.com/kerberos-io/agent","GitHub","2026-07-15","Independent GitHub research: camera intelligence","video surveillance agent","Image; Video","Media","","Runs local video surveillance, recording, motion analysis, and event capture for camera streams.","2020-08-12","2026-07-16","1073","Go","MIT","false","false","8","high","Active MIT-licensed surveillance agent supports RTSP camera feeds and isolated local deployments.","accepted","Accepted as an active MIT-licensed local surveillance agent."
"motionEye","https://github.com/motioneye-project/motioneye","GitHub","2026-07-15","Independent GitHub research: camera intelligence","camera monitoring","Image; Video","Media","","Provides a web interface for camera monitoring, motion detection, recording, and review.","2015-08-30","2026-06-20","4635","Python","GPL-3.0","false","false","8","high","Active licensed web frontend for the motion daemon with practical multi-camera monitoring workflows.","accepted","Accepted because camera monitoring and evidence review are within the clarified intelligence scope."
"Photonix","https://github.com/photonixapp/photonix","GitHub","2026-07-15","User-supplied face recognition repositories","manual review","Image","Media","","Organizes and searches local photo collections using faces, objects, locations, and visual attributes.","2017-03-07","2026-07-07","1953","Python","AGPL-3.0","false","false","8","high","Active self-hosted implementation contains dedicated face classification, embedding, matching, and clustering modules.","accepted","Accepted as an active local evidence and photo-collection analysis platform."
"Sicry","https://github.com/JacobJandon/Sicry","GitHub","2026-07-15","User-supplied dark web workflow","manual and related-project review","Onion Service","Dark Web","EMERGING.md; AGENTIC.md","Tor access layer for search, fetch, identity rotation, health checks, and optional agent-assisted analysis.","2026-03-14","2026-05-28","16","Python","","false","false","8","high","Single-file implementation exposes Tor health, identity rotation, multi-engine search, URL fetching, batch collection, MCP, and LLM modes; Apache-2.0 license verified from repository file.","accepted","Accepted into Dark Web, Emerging, and Agentic views; Apache-2.0 license verified directly from the repository file."
"TheScrapper","https://github.com/champmq/TheScrapper","GitHub","2026-07-15","Identity Footprint reconnaissance attachment","manual review","URL","Web","","Extracts email addresses, phone numbers, and social profile links from websites.","2021-05-07","2026-05-29","363","Python","GPL-3.0","false","false","8","high","Public implementation includes crawl, contact extraction, social extraction, and structured export modes.","accepted","Accepted as a focused website contact and profile extraction tool."
"Torchreid","https://github.com/KaiyangZhou/deep-person-reid","GitHub","2026-07-15","Independent GitHub research: video intelligence","person re-identification","Name; Video","Media","","Re-identifies people across images and camera views with pretrained models and training tools.","2018-03-11","2026-01-09","4868","Python","MIT","false","false","8","high","Active MIT-licensed person re-identification toolbox with pretrained models and image/video workflows.","accepted","Accepted for cross-camera person re-identification workflows."
"unblink","https://github.com/zapdos-labs/unblink","GitHub","2026-07-15","Independent GitHub research: camera intelligence","VLM camera monitoring","Image; Video","Media","EMERGING.md","Uses vision-language models to monitor camera feeds and search recorded frames with natural language.","2025-11-05","2026-03-09","1471","Go","AGPL-3.0","false","false","8","high","New licensed camera platform with relay nodes, private RTSP access, chat, and semantic video search.","accepted","Accepted into Image and Emerging because the implementation is licensed and relevant but still comparatively new."
"Viseron","https://github.com/roflcoopter/viseron","GitHub","2026-07-15","User-supplied face recognition repositories","manual review","Image; Video","Media","","Self-hosted NVR and computer-vision platform for camera monitoring.","2020-08-30","2026-07-15","3284","Python","MIT","false","false","8","high","Self-hosted implementation supports local camera monitoring with motion, object, face, and license-plate detection.","accepted","Accepted after scope clarification that CCTV and online-camera monitoring are valid intelligence collection and analysis workflows."
"ZoneMinder","https://github.com/ZoneMinder/zoneminder","GitHub","2026-07-15","Independent GitHub research: camera intelligence","open source CCTV","Image; Video","Media","","Monitors, records, and reviews IP, USB, and analog camera feeds.","2013-04-12","2026-07-15","5882","PHP","GPL-2.0","false","false","8","high","Long-running active CCTV platform with substantial source implementation and broad camera support.","accepted","Accepted as an active open-source CCTV platform with broad camera support."
"camera.ui","https://github.com/cameraui/camera.ui","GitHub","2026-07-15","User-supplied face recognition repositories","manual review","Image; Video","Media","","Local-first platform for security-camera viewing, recording, and detection.","2021-10-27","2026-07-16","1063","TypeScript","MIT","false","false","7","high","Implementation provides local recording, monitoring, on-device detection, and semantic video-search workflows.","accepted","Accepted after scope clarification that CCTV and online-camera monitoring are valid intelligence workflows."
"DarkSpider","https://github.com/PROxZIMA/DarkSpider","GitHub","2026-07-15","Independent GitHub research: dark web intelligence","onion crawler visualization","Onion Service","Dark Web","","Crawls onion services through Tor and visualizes extracted link relationships.","2022-07-31","2024-07-27","45","Python","GPL-3.0","false","false","7","high","Active GPL-licensed multithreaded crawler supports regular and onion pages, extraction, topology analysis, and network visualization.","accepted","Accepted as an active GPL-licensed multithreaded crawler and topology visualization tool."
"discord-urls-extractor","https://github.com/TheTechRobo/discord-urls-extractor","GitHub","2026-07-15","Discord OSINT repository review","related project review","Username; URL","Social Media","","Extracts URLs and media references from supported Discord archive formats.","2021-11-21","2024-12-19","21","Rust","Apache-2.0","false","false","7","high","Public Rust implementation supports Discord History Tracker, discard2, and DiscordChatExporter inputs.","accepted","Accepted as an evidence-analysis helper for multiple Discord archive formats."
"EfficientIR","https://github.com/Sg4Dylan/EfficientIR","GitHub","2026-07-15","Independent GitHub research: image intelligence","local reverse image search","Image","Media","","Performs local similar-image retrieval and duplicate-image detection.","2020-03-30","2024-07-22","112","Python","Apache-2.0","false","false","7","high","Licensed implementation supports image-by-image retrieval and deduplication without an external search service.","accepted","Accepted as a licensed local reverse-image retrieval and deduplication tool."
"ImageHash","https://github.com/JohannesBuchner/imagehash","GitHub","2026-07-15","User-supplied GitHub list","manual review","Image","Media","","Python perceptual image hashing module for similarity comparison.","2013-03-02","2025-04-17","3852","Python","BSD-2-Clause","false","true","7","high","Maintained canonical ImageHash package; supports perceptual image matching workflows.","accepted","Accepted as the maintained canonical ImageHash package despite its historical fork relationship to photohash."
"onion-lookup","https://github.com/ail-project/onion-lookup","GitHub","2026-07-15","Independent GitHub research: dark web intelligence","onion metadata lookup","Onion Service","Dark Web","","Checks onion-service availability and retrieves associated metadata from an AIL instance.","2024-10-03","2026-01-05","64","Python","AGPL-3.0","false","false","7","high","Active AGPL-licensed backend and API provides focused onion address existence and metadata lookup.","accepted","Accepted as a focused AGPL-licensed onion existence and metadata lookup service."
"RetinaFace","https://github.com/serengil/retinaface","GitHub","2026-07-15","User-supplied GitHub list","manual review","Image","Media","","Python face detection and alignment library.","2021-04-25","2026-06-01","2012","Python","MIT","false","false","7","high","Public implementation; face detection and alignment are documented investigation-support capabilities.","accepted","Accepted as an image-analysis support library with a documented investigation use case."
"SentryShot","https://github.com/SentryShot/sentryshot","GitHub","2026-07-15","Independent GitHub research: camera intelligence","video management system","Image; Video","Media","","Records camera streams and applies local object detection through a web video-management interface.","2023-10-29","2026-04-27","357","Rust","GPL-2.0","false","false","7","high","Licensed GitHub mirror of an implementation-bearing VMS with continuous recording and TensorFlow Lite detection.","accepted","Accepted as a licensed implementation-bearing GitHub mirror; the canonical project is hosted on Codeberg."
"Telespot","https://github.com/thumpersecure/Telespot","GitHub","2026-07-15","Identity Footprint reconnaissance attachment","manual review","Phone Number","Identity","EMERGING.md","Searches phone-number variations across search engines and correlates identity clues.","2025-12-28","2026-02-26","133","Python","MIT","false","false","7","high","Public Python implementation documents multi-engine phone search and correlation.","accepted","Accepted into Emerging as a focused phone-number investigation project."
"Telespotter","https://github.com/thumpersecure/Telespotter","GitHub","2026-07-15","Identity Footprint reconnaissance attachment","manual review","Phone Number","Identity","EMERGING.md","Searches phone numbers across public engines and people-search sources in a Rust CLI.","2026-01-02","2026-02-27","68","Rust","MIT","false","false","7","high","Distinct Rust implementation from the same maintainer with a documented phone OSINT workflow.","accepted","Accepted into Emerging as a distinct Rust phone-number investigation implementation."
"TikSpyder","https://github.com/estebanpdl/tik-spyder","GitHub","2026-07-15","Identity Footprint reconnaissance attachment","manual review","Username; Video","Social Media","EMERGING.md","Collects TikTok search, user, tag, and media data through SerpAPI and Apify.","2024-07-16","2026-02-27","98","Python","","false","false","7","high","Public CLI and web implementation with documented SerpAPI, Apify, and yt-dlp collection workflows.","accepted","Accepted into Emerging as an active API-assisted TikTok collection project."
"VibeNVR","https://github.com/spupuz/VibeNVR","GitHub","2026-07-15","Independent GitHub research: camera intelligence","local NVR","Image; Video","Media","EMERGING.md","Provides privacy-focused local camera recording and monitoring without a cloud dependency.","2026-01-15","2026-07-16","326","JavaScript","MIT","false","false","7","high","Very new but active licensed NVR implementation with local-first operation and practical recording workflows.","accepted","Accepted into Image and Emerging as a very new but active local-first NVR."
"Discord Inspector","https://github.com/Euronymou5/Discord-Inspector","GitHub","2026-07-15","Discord OSINT repository review","related project review","Username","Social Media","EMERGING.md","Retrieves public user, server, and application metadata from Discord identifiers.","2024-12-03","2024-12-05","6","Python","MPL-2.0","false","false","6","high","Small implementation-bearing ID lookup tool with documented public-data outputs.","accepted","Accepted into Discord and Emerging as a small implementation-bearing public-data lookup tool."
"LeakRecon","https://github.com/egnake/LeakRecon","GitHub","2026-07-15","Independent GitHub research: dark web intelligence","leak reconnaissance monitoring","Onion Service","Dark Web","EMERGING.md","Runs asynchronous Tor-routed reconnaissance, local finding storage, change tracking, and report export.","2026-05-18","2026-06-04","10","Python","MIT","false","false","6","medium","Very new licensed implementation provides Tor-only routing controls, multi-source collection, SQLite history, scan comparison, and reporting, but needs continued maturity review.","accepted","Accepted into Dark Web and Emerging as a new MIT-licensed monitoring and reporting implementation."
"OSINT-NEXUS","https://github.com/Muhib-Mehdi/OSINT-NEXUS","GitHub","2026-07-15","Identity Footprint reconnaissance attachment","manual review","Name; Organization Name","Investigation","EMERGING.md","Combines multi-target collection, entity correlation, graphs, and reporting in a desktop application.","2025-12-30","2026-01-04","7","Python","","false","false","6","high","Repository contains a multi-module Python implementation rather than a landing page or stub.","accepted","Accepted into Emerging after implementation tree verification."
"Project Eyes On","https://github.com/Y0oshi/Project-Eyes-On","GitHub","2026-07-15","Independent GitHub research: online camera intelligence","public camera discovery","Video","Media","EMERGING.md","Locates publicly accessible IP-camera streams using public directories and web-search queries.","2026-01-10","2026-01-12","120","Python","MIT","false","false","6","medium","Implementation combines Insecam directory collection, search queries, GeoIP enrichment, and stream-type verification; highly dual-use and still new.","accepted","Accepted into Image and Emerging as a dual-use public-camera discovery tool; use must remain lawful and authorized."
"Social OSINT","https://github.com/krishpranav/socialosint","GitHub","2026-07-15","Identity Footprint reconnaissance attachment","manual review","Username; Email","Social Media","","Collects exposed email addresses from supported social platforms and checks related leak data.","2021-07-02","2026-02-10","93","Rust","","false","false","6","high","Public Rust implementation documents Instagram, LinkedIn, X/Twitter, and PwnDB-related workflows.","accepted","Accepted as a cross-platform social email collection tool; leak-source use requires operator policy review."
